"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 15 01:02:50 GMT 2023","Fri Sep 15 01:02:54 GMT 2023","4567","Surefire suite","Surefire test","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","shouldNotBeAvailableToCreatePlaylistWithoutName","Should not be able to create Playlist without name",""
"passed","Fri Sep 15 01:02:55 GMT 2023","Fri Sep 15 01:02:55 GMT 2023","362","Surefire suite","Surefire test","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","shouldBeAvailableToCreatePlaylist"," Should be able to create Playlist","Should be able to create Playlist with correct name, description and public status"
"passed","Fri Sep 15 01:02:50 GMT 2023","Fri Sep 15 01:02:54 GMT 2023","4692","Surefire suite","Surefire test","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","shouldBeAvailableToUpdatePlaylist","Should be able to update Playlist","Should be able to update Playlist with correct name, description and public status"
"passed","Fri Sep 15 01:02:50 GMT 2023","Fri Sep 15 01:02:54 GMT 2023","4697","Surefire suite","Surefire test","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","shouldBeAvailableToGetPlaylist","Should be able to get Playlist","Should be able to get Playlist with correct name, description and public status"
"passed","Fri Sep 15 01:02:50 GMT 2023","Fri Sep 15 01:02:53 GMT 2023","3595","Surefire suite","Surefire test","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","shouldNotBeAvailableToCreatePlaylistWithExpiredToken","Should not be able to create Playlist with expired token",""
