"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 01:05:11 GMT 2023","Fri Nov 24 01:05:18 GMT 2023","7100","Surefire suite","Surefire test","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","shouldBeAvailableToUpdatePlaylist","Should be able to update Playlist","Should be able to update Playlist with correct name, description and public status"
"failed","Fri Nov 24 01:05:11 GMT 2023","Fri Nov 24 01:05:18 GMT 2023","7069","Surefire suite","Surefire test","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","shouldBeAvailableToGetPlaylist","Should be able to get Playlist","Should be able to get Playlist with correct name, description and public status"
"passed","Fri Nov 24 01:05:11 GMT 2023","Fri Nov 24 01:05:17 GMT 2023","6176","Surefire suite","Surefire test","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","shouldNotBeAvailableToCreatePlaylistWithExpiredToken","Should not be able to create Playlist with expired token",""
"passed","Fri Nov 24 01:05:11 GMT 2023","Fri Nov 24 01:05:18 GMT 2023","7182","Surefire suite","Surefire test","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","shouldBeAvailableToCreatePlaylist"," Should be able to create Playlist","Should be able to create Playlist with correct name, description and public status"
"passed","Fri Nov 24 01:05:11 GMT 2023","Fri Nov 24 01:05:18 GMT 2023","6971","Surefire suite","Surefire test","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","shouldNotBeAvailableToCreatePlaylistWithoutName","Should not be able to create Playlist without name",""
